,source,reference,translation,prediction
20,So it's really just the importance of drawing on that home support and thriving on the fact that we're back at the Olympic Stadium.,"Joten se on oikeastaan vain tärkeää piirtää, että kodin tukea ja kukoistaa siitä, että olemme takaisin olympiastadionilla.","On tärkeää nauttia kotiyleisön tuesta ja siitä, että olemme taas olympiastadionilla.",0.6153846153846154
21,Iuel was born in Denmark in 1994.,Iuel syntyi Tanskassa vuonna 1994.,Iuel syntyi Tanskassa 1994.,1.0
22,"Me Naiset magazine tested what the price of a pineapple, artichoke, mushroom, broccoli and cauliflower is after any unnecessary parts are removed.","Me Naiset-lehti testasi, mikä on pineomenan, artichoken, sienen, broccolin ja kukkakaalin hinta sen jälkeen, kun kaikki tarpeettomat osat poistetaan.","Me Naiset testasi, miten hinta muuttuu, kun ananaksesta, latva-artisokasta, herkkusienistä, parsakaalista ja kukkakaalista ottaa lehdet tai kannat pois.",0.3157894736842105
23,"Neymar's transfer to PSG will have an impact on the club's finances for several years, but this impact cannot be evaluated beforehand.","Neymarin siirto PSG: Hen vaikuttaa seuran talouteen useita vuosia, mutta vaikutusta ei voi arvioida etukäteen.","Neymarin siirto PSG:hen vaikuttaa seuran talouteen useiden vuosien ajan, mutta vaikutusta ei voida arvioida etukäteen.",0.7647058823529411
24,In experiments it was found a kind of tolerance-promoting immune cell appears in mice that carry a specific bacterium in their guts.,"Kokeissa havaittiin, että hiirillä esiintyy eräänlainen suvaitsevaisuutta edistävä immuunisolu, joka kantaa erityistä bakteeria kivissään.","Kokeissa havaittiin, että sietokykyä vahvistavia immuunisoluja on hiirillä, joiden suolistossa on tiettyä bakteeria.",0.38461538461538464
25,One reason for obtaining funding from the EIB was the impact MariaDB has on public IT procurement.,Yksi syy saada rahoitusta EIP:ltä oli MariaDB:n vaikutus julkisiin tietotekniikkahankintoihin.,Yksi syy EIB:n rahoitukseen oli MariaDB:n vaikutus julkisiin it-hankintoihin.,0.5833333333333334
26,"By algorithmically analyzing DNA extracted from Manning and using it to create 30 portraits of what someone with that genomic data might look like, Dewey-Hagborg has created a trenchant, if somewhat cerebral, commentary on not only the malleability of DNA data - the many ways it can be interpreted, and the inherent determinism of those interpretations - but also identity.","Kun algoritmi analysoida DNA louhittu Manning ja käyttämällä sitä luoda 30 kuvaa siitä, mitä joku, jolla on, että genominen data voisi näyttää, Dewey-Hagborg on luonut trenchant, jos hieman cerebral.","Dewey-Hagborg analysoi Manningin DNA:ta algoritmisesti ja loi hänen geenitietojensa perusteella 30 muotokuvaa. Ne ovat terävä, joskin hieman teoreettinen kannanotto DNA-tietojen muokattavuuteen, monitulkintaisuuteen ja tulkintojen taustalla oleviin syy-seuraussuhteisiin sekä identiteettiin.",0.17142857142857143
27,So she called in outsiders for help.,Niinpä hän soitti ulkopuolisille apua.,Errett päätti turvautua ulkopuoliseen apuun.,0.0
28,"In fact, Paniai suffered a nadir just two months after Jokowi's October inauguration.",Paniaomi nimittäin kärsi nadosta vain kaksi kuukautta Jokowin lokakuun virkaanastujaisten jälkeen.,Paniailla koettiin jonkinlainen aallonpohja vain kaksi kuukautta Jokowin lokakuisten virkaanastujaisten jälkeen.,0.5833333333333334
29,Fleet-footed tortoise escaped again from a Japanese zoo,Alusvaatekilpikonna pakeni jälleen japanilaisesta eläintarhasta,Vikkelä konna karkasi toistamiseen japanilaisesta eläintarhasta,0.42857142857142855
30,"Justice, who is the only billionaire in the state, according to Forbes, was elected in 2016.","Oikeus, joka on valtion ainoa miljardööri, valittiin Forbesin mukaan vuonna 2016.",Justice valittiin kuvernööriksi vuonna 2016. Forbesin mukaan hän on osavaltionsa ainoa miljardööri.,0.6
31,"He does not seem to be interested in a rematch with Helenius, as he has his eyes set on Dillian Whyte.","Hän ei näytä olevan kiinnostunut uusintaottelusta Heleniuksen kanssa, sillä hänellä on silmät kiinni Dillian Whyten kanssa.","Häntä ei kaikesta päätellen kiinnosta uusintaottelu Heleniuksen kanssa, vaan tähtäimessä on Dillian Whyte.",0.4117647058823529
32,"Danish-Norwegian Amalie Iuel has become a highly popular athlete in her current home country Norway, not least because she broke the 26-year-old Norwegian record in 400 metres by crossing the line at 51.81.","Tanskalais-norjalaisesta Amalie Iuelista on tullut erittäin suosittu urheilija nykyisessä kotimaassaan Norjassa, eikä vähiten siksi, että hän rikkoi 26-vuotiaan Norjan ennätyksen 400 metrillä ylittämällä rajan 51,81.","Tanskalais-norjalainen Amalie Iuel on noussut nykyisessä kotimaassaan Norjassa suosituksi urheilijaksi, ei vähiten siksi, että hän rikkoi maaliskuussa 26 vuotta vanhan Norjan ennätyksen 400 metrin juoksussa kiertämällä ratakierroksen aikaan 51.81.",0.6111111111111112
33,"Since arriving in Washington, Pruitt has repeatedly moved to block or delay regulations opposed by the chemical and fossil-fuel industries.","Sen jälkeen, kun saapuu Washington, Pruitt on toistuvasti siirretty estää tai viivästyttää asetuksia vastustaa kemian ja fossiilisten polttoaineiden teollisuuden.",Washingtoniin tulonsa jälkeen Pruitt on toistuvasti yrittänyt estää tai viivästyttää kemianteollisuuden ja fossiilisia polttoaineita käyttävien teollisuudenalojen vastustamien päätösten toimeenpanon.,0.38461538461538464
34,"In addition to our sense of taste, she has opened up our hearts and minds.",Makuaistimme lisäksi hän on avannut sydämemme ja mielemme.,Hän on avannut makuaistimme lisäksi ajatuksemme ja sydämemme.,0.9090909090909091
35,"They have one child, Kaya, born in 2014.","Heillä on yksi lapsi, Kaya, syntynyt vuonna 2014.","Pariskunnalla on yksi lapsi, vuonna 2014 syntynyt tytär Kaya.",0.7
36,"Those eligible for the treatment include gay or bisexual men, transgender people and those with HIV-positive partners who are not successfully receiving treatment.","Hoitoon oikeutettuja ovat homo- tai biseksuaalit, transsukupuoliset ihmiset ja ne, joilla on hiv-positiivisia kumppaneita, jotka eivät saa onnistuneesti hoitoa.","Hoidon kohderyhmään kuuluvat homomiehet, biseksuaaliset miehet ja transsukupuoliset sekä ihmiset, joilla on HIV-positiivinen kumppani, joka ei saa tehokasta hoitoa.",0.38095238095238093
37,The success of Rwanda has made many Africans doubt whether a liberal multi-party democracy is the right way for African states.,"Ruandan menestys on saanut monet afrikkalaiset epäilemään, onko liberaali monipuoluedemokratia oikea tapa Afrikan valtioille.","Ruandan menestys on saanut monet afrikkalaiset kysymään, onko liberaali monipuoluedemokratia oikea malli afrikkalaisille valtioille.",0.8
38,"On Thursday, the District Court of Minneapolis in the United States sentenced 41-year-old Maxim Senakh to nearly four years of imprisonment for his involvement in a global computer fraud.",Yhdysvaltain Minneapolisin käräjäoikeus tuomitsi torstaina 41-vuotiaan Maxim Senakhin lähes neljäksi vuodeksi vankeuteen osallisuudesta maailmanlaajuiseen tietokonepetokseen.,Minneapolisin oikeusistuin Yhdysvalloissa tuomitsi torstaina 41-vuotiaan Maksim Senahin liki neljäksi vuodeksi vankeuteen osallisuudesta maailmanlaajuiseen tietokonehuijaukseen.,0.6470588235294118
39,He's shown a steady hand in leading his state and a stern adherence to principles.,Hän on osoittanut tasainen käsi johtaa hänen valtion ja tiukka noudattaminen periaatteita.,Hän on johtanut osavaltiota vakaasti ja pitänyt tiukasti kiinni periaatteista.,0.3333333333333333
40,"Earlier, Suur-Hamari had also won the cross event.",Aiemmin Suur-Hamari oli voittanut myös cross-tapahtuman.,Suur-Hamari voitti aiemmin kisoissa myös crossin MM-kullan.,0.5
41,"""These World Championships have been pretty amazing!","""Nämä MM-kisat ovat olleet aika hämmästyttäviä!",Aika uskomattomat MM-kisat!,0.75
42,"On her last jump, she attempted caballerial 1080 for the first time in a competition, and very nearly made it.","Hänen viimeinen hyppy, hän yritti caballerial 1080 ensimmäistä kertaa kilpailussa, ja hyvin lähes teki sen.","Hän yritti viimeisellä hypyllään caballerial 1080:tä ensi kertaa kisoissa, ja se oli hyvin lähellä onnistua.",0.47368421052631576
43,Ms De Lutis and her late husband Luigi were Italian immigrants who ran milk bars and delicatessens from the late 1950s and in the early 1970s bought a shop in Brunswick.,"DE Lutis ja hänen edesmennyt miehensä Luigi olivat italialaisia maahanmuuttajia, jotka ajoivat maitobaareja ja herkkuja 1950-luvun lopusta lähtien ja 1970-luvun alussa ostivat myymälän Brunswickiin.","Anna De Lutis ja hänen edesmennyt aviomiehensä Luigi olivat italialaisia siirtolaisia, jotka perustivat maitobaareja ja herkkukauppoja 1950-luvun lopulla. 1970-luvun alussa he ostivat kaupan Brunswickista.",0.6666666666666666
44,"""The police just killed an 18 year old kid and he's still laying in the street,"" it read.","""Poliisi vain tappoi 18-vuotiaan kitaran ja hän on yhä kadulla"", siinä luki.","”Poliisi tappoi juuri 18-vuotiaan nuoren, ja hänen ruumiinsa on edelleen kadulla.”",0.6153846153846154
45,"""When I turned around I suddenly got shot in my left wrist,"" he told TIME on the porch of his brightly painted wooden house.","""Kun käännyin ympärilleni, pääsin yhtäkkiä ampumaan vasemmalla puolellani"", hän kertoi TIME:lle kirkkaasti maalatun puutalon portista.","”Kun käännyin ympäri, minua ammuttiin vasempaan ranteeseen”, hän kertoi TIME-lehdelle kirkkaanväriseksi maalatun puutalonsa kuistilla.",0.47368421052631576
46,"Italian Piccareta has previously worked as an assistant coach, for example, in Sunderland in the UK.",Italialainen Piccareta on aiemmin työskennellyt apuvalmentajana muun muassa Sunderlandissa Yhdistyneessä kuningaskunnassa.,Italialainen Piccareta on toiminut apuvalmentajana aiemmin muun muassa englantilaisessa Sunderlandissa.,0.8
47,This trial will take us one step closer to fully understanding the benefits of PrEP.,"Tämä oikeudenkäynti vie meidät askeleen lähemmäs sitä, että ymmärrämme täysin prepin edut.",Kokeilu auttaa meitä ymmärtämään entistä paremmin PrEP-lääkkeen todellisia hyötyjä.,0.2
48,"Having had a notable career as an author, Raija Oranen has nothing but good memories of the 44-episode Puhtaat valkeat lakanat series which touched and moved Finnish viewers during the recession of the 1990s.","Tehtyään merkittävän uran kirjailijana Raija Oranen on vain hyviä muistoja 44-episodista Puhtaat valkeat lakanat -sarjasta, joka kosketti ja liikutti suomalaisia katsojia 1990-luvun laman aikana.","Mittavan kirjailijauran tehnyt Oranen muistaa vain hyvällä 44-osaista Puhtaat valkeat lakanat tv-sarjaa, joka kosketti ja liikutti lama-ajan Suomea.",0.45454545454545453
49,"There is no respite from the violence, and as bodies pile up across the country, more and more of them are journalists: at least 25 since President Enrique Pena Nieto took office in December 2012, according to the Committee to Protect Journalists; 589 under federal protection after attacks and threats; and so far this year, at least seven dead in seven states.",Väkivallasta ei ole hengähdystaukoa.,"Väkivalta on taukoamatonta, ja yhä useammin iskujen kohteina ovat toimittajat. Toimittajien suojelukomitean mukaan ainakin 25 toimittajaa on murhattu sen jälkeen, kun presidentti Enrique Peña Nieto astui virkaan joulukuussa 2012. Liittovaltion suojeluksessa on 589 hyökkäysten ja uhkausten kohteeksi joutunutta toimittajaa. Kuluvana vuonna on murhattu ainakin seitsemän toimittajaa seitsemässä osavaltiossa.",0.01818181818181818
50,News of the killings only filtered through to Jakarta the following day.,Uutiset surmista suodatettiin vasta seuraavana päivänä Jakartaan.,Tieto surmista kantautui Jakartaan seuraavana päivänä.,0.75
51,"Even though many have heard of Widenius and the billion dollar MySQL deal, not many in Finland know anything about MariaDB.","Vaikka moni on kuullut Wideniuksen ja miljardin dollarin MySQL-sopimuksesta, ei moni Suomessa tiedä MariaDB:stä mitään.","Vaikka moni on kuullut Wideniuksesta ja MySQL:n miljardikaupasta, harva suomalainen tietää mitään MariaDB:stä.",0.625
52,"At midnight on a recent Friday, with the latest issue already put to bed, Riodoce editors sat on the sidewalk outside the office, drinking beer, when all at once, their phones began to buzz.","Keskiyöllä viime perjantaina, kun viimeisin asia on jo pantu nukkumaan, Riodoce editors istui sivukävelyllä toimiston ulkopuolella, juoda olutta, kun kaikki kerralla, heidän puhelimensa alkoi buzz.","Jokin aika sitten Riodocen toimittajat istuivat perjantaina keskiyöllä toimituksen edessä jalkakäytävällä oluella, kun lehden uusin numero oli saatu valmiiksi. Äkkiä heidän puhelimensa alkoivat väristä viestin merkiksi.",0.21875
53,"In minutes of the rates decision, the Bank said: ""In the MPC's central forecast, gross domestic product (GDP) remains sluggish in the near-term as the squeeze on households' real incomes continues to weigh on consumption.""","Korkopäätöksen minuuteissa pankki totesi, että ""MPC:n keskusennusteessa bruttokansantuote (BKT) pysyy verkkaisena lähitulevaisuudessa, kun kotitalouksien reaalitulojen puristaminen painaa edelleen kulutusta"".","Pankin korkopäätöksen pöytäkirjassa todetaan seuraavaa: ”Rahapolitiikasta vastaavan toimikunnan ennusteen mukaan bruttokansantuotteen hidas kehitys jatkuu lähivuosina, kun kotitalouksien reaalitulojen lasku pienentää kulutusta.”",0.3076923076923077
54,"This week, Princess Sofia of Sweden made a visit to Båstad, Sweden.",Ruotsin prinsessa Sofia vieraili tällä viikolla Ruotsin Båstadissa.,Ruotsin prinsessa Sofia on vieraillut tällä viikolla Ruotsin Båstadissa.,0.8181818181818182
55,"""I've carried out slow aerobic exercises to return my metabolism back to normal.","""Olen tehnyt hitaita aerobisia harjoituksia palauttaakseni aineenvaihduntani takaisin normaaliksi.","Olen tehnyt monipuolisesti rauhallisia aerobisia harjoituksia, joilla olen pyrkinyt normalisoimaan elimistön aineenvaihduntaa.",0.3076923076923077
56,"PSG is owned by Qatar Sports Investment, a state-owned company from Qatar.","PSG:n omistaa Qatar Sports Investment, joka on Qatarin valtion omistama yhtiö.",PSG:n omistaa valtio-omisteinen qatarilaisyhtiö Qatar Sports Investment.,0.6666666666666666
57,I remember when I was that young that everything was new and I was insanely excited about everything.,"Muistan, kun olin niin nuori, että kaikki oli uutta ja olin älyttömän innoissani kaikesta.","Muistan, kun itsekin oli siinä vaiheessa, että kaikki oli uutta ja oli niin sairaan innoissaan kaikesta.",0.5625
58,Tyson Fury beat him by the unanimous decision of the judges in November 2015.,Tyson Fury päihitti hänet tuomareiden yksimielisellä päätöksellä marraskuussa 2015.,Tyson Fury löi hänet pistein marraskuussa 2015.,0.6666666666666666
59,"If an opportunity presents itself, I must be ready to take it.","Jos tilaisuus tarjoutuu, minun on oltava valmis siihen.","Jos tulee tilaisuus, lähden toki itse viemään tonttiin.",0.2
60,"By Wednesday, there have been 18,386 flashes this year.","Keskiviikkoon mennessä säiliöitä on tänä vuonna ollut 18,386.",Keskiviikkoon mennessä tämän vuoden salamamäärä oli kohonnut 18 386 salamaan.,0.46153846153846156
61,Luukkainen is also the president of the Negotiation Organisation for Public Sector Professionals (JUKO).,Luukkainen on myös julkisen sektorin yrittäjien neuvottelujärjestön (JUKO) puheenjohtaja.,Luukkainen on myös julkisalan koulutettujen neuvottelujärjestön Jukon puheenjohtaja.,0.7272727272727273
62,"Whatever the combination of circumstances, it's absolutely brilliant.""","Mikä tahansa yhdistelmä olosuhteet, se on aivan loistava. ""","Kyseessä on kuitenkin jotakin aivan mahtavaa, mistä se sitten johtuukaan.”",0.3
63,The suspect left the shop after making his threats.,Epäilty poistui myymälästä tehtyään uhkauksensa.,Epäilty lähti kaupasta uhkailujen jälkeen.,0.375
64,"In a statement issued Wednesday evening, Pruitt suggested his about-face on ozone standards simply reinforced the EPA's commitment to working with states through the complex process of meeting the new standards on time.","Keskiviikkoiltana antamassaan lausunnossa Pruitt ehdotti, että hänen noin kasvot otsoninormeja yksinkertaisesti vahvistaa EPA:n sitoutumista yhteistyöhön valtioiden kautta monimutkainen prosessi täyttää uudet standardit ajoissa.","Keskiviikkoiltana annetussa lausunnossa Pruitt väitti, että hänen täyskäännöksensä otsonisäännösten suhteen vain vahvistaa EPA:n yhteistyötä osavaltioiden kanssa monimutkaisessa prosessissa, jonka tavoitteena on uusien vaatimusten täyttäminen aikataulun mukaisesti.",0.32432432432432434
65,The shed of roughly 50 square metres burned to the ground.,Noin 50 neliömetrin kokoinen valtti paloi maan tasalle.,Noin viidenkymmenen neliömetrin kokoinen ulkorakennus paloi maan tasalle.,0.7777777777777778
66,"Lazarus's great imaginative act was to see it as it would be seen by exhausted, wretched but hopeful people on the decks of ships after long and often dreadful journeys.","Lazaruksen suuri mielikuvituksellinen teko oli nähdä se sellaisena kuin se nähtäisiin uupuneilla, kurjilla mutta toiveikkailla ihmisillä laivoilla pitkien ja usein hirvittävien matkojen jälkeen.",Lazarus näki sen niin kuin köyhät ja uupuneet mutta toiveikkaat maahanmuuttajat laivan kannelta pitkän ja koettelevan matkan jälkeen.,0.30434782608695654
67,A court filing says this translates to Colin owning property worth $316 million and Paul $176 million.,Tuomioistuimen hakemuksen mukaan tämä tarkoittaa Colin omistaa omaisuuden arvo 316 miljoonaa dollaria ja Paul 176 miljoonaa dollaria.,"Oikeuden asiakirjojen mukaan omaisuuden jakosuhde tarkoittaa, että Colin omistaa kiinteistöjä noin 316 miljoonan dollarin arvosta ja Paul noin 176 miljoonan dollarin arvosta.",0.391304347826087
68,"He knows how to wrestle. After all, he has won the World Jiu-Jitsu Championships.""","Hän tietää, miten voittaa.","Hän on voittanut jujutsun maailmanmestaruuden, joten hän osaa painia.",0.18181818181818182
69,"He's played the part of the head Klansman for years, but he said the role never gets any easier.","Hän on ollut osa pään Klansman vuosia, mutta hän sanoi rooli ei koskaan saa yhtään helpompaa.","Hän on esittänyt uudelleenlavastuksessa paikallista Ku Klux Klanin johtajaa jo vuosia, mutta rooli on aina yhtä vaikea ja vastenmielinen.",0.3333333333333333
70,"Gobai says the Paniai people, like other Papuans, consider their vote to Jokowi as a ""debt"" he must repay.","Gobain mukaan Paniait, kuten muutkin Papualaiset, pitävät ääniään Jokowille ""velaksi"", joka hänen on maksettava takaisin.","Gobain mukaan paniailaiset, kuten muutkin papualaiset, pitävät Jokowille antamiaan ääniä ”velkana”, joka on maksettava takaisin.",0.8235294117647058
71,"A day before Audi's announcement, BMW said it would offer to upgrade the software in more than 350,000 vehicles.",Päivää ennen Audin ilmoitusta BMW kertoi tarjoavansa ohjelmiston päivittämistä yli 35000 ajoneuvolla.,Päivä ennen Audin ilmoitusta BMW tarjoutui päivittämään yli 350 000 auton ohjelmiston.,0.625
72,"Hannu Manninen's Olympic project starts with a huge setback – ""It's tough""","Hannu Mannisen olympiaprojekti alkaa huikealla takaiskulla - ""Se on rankkaa""","Hannu Mannisen olympiaprojekti alkoi valtavalla takaiskulla - ""Kova paikka""",0.5
73,"On Monday, first-degree murder warrants without bail were issued for Wyndham Lathem, 42, and Andrew Warren, 56, for their alleged involvement in the death of Trenton H. James Cornell-Duranleau, Cook County court records show.","Wyndham Lahe, 42, ja Andrew Warren, 56, saivat maanantaina ensimmäisen asteen murhat ilman takuita, koska heidän väitettiin osallistuneen Trenton H. James Cornell-Duranleaun kuolemaan.","Cookin piirikunnan oikeuden asiakirjoista käy ilmi, että maanantaina annettiin pidätysmääräykset Wyndham Lathemista, 42, ja Andrew Warrenista, 56, joita epäillään osallisuudesta Trenton H. James Cornell-Duranleaun kuolemaan. Pidätysmääräykset on annettu ensimmäisen asteen murhasta ilman mahdollisuutta vapautua takuita vastaan.",0.3829787234042553
74,"For the mezzanine, a vintage copper light window from Retrouvius looks down over the glamorous living area below.","Mezzanine, vintage kuparinen valoikkuna Retrouvius näyttää alas glamoroisen asuinalueen alapuolella.",Välikerroksessa avautuu Retrouviuksen kupariristikkoinen ikkuna tyylikkääseen oleskelutilaan.,0.0
75,"""The important thing is to stay healthy"", emphasises Nummela-based Manninen who won the gold medal in the team event in Salt Lake City in 2002.","""Tärkeintä on pysyä terveenä"", korostaa Nummela-lähtöinen Manninen, joka voitti kultamitalin joukkuetapahtumassa Salt Lake Cityssä vuonna 2002.","Nyt tärkeintä on pysyä terveenä, Salt Lake Cityssä 2002 kultaa joukkuekilpailussa juhlinut nummelalainen alleviivaa.",0.6
76,The route drawn by the airliner over the United States was shown by the Flightradar24 service.,Ilmavoimien käyttämä reitti Yhdysvaltoihin näkyi Flightradar24-palvelussa.,Koneen lentämä reitti piirtyi Yhdysvaltain ylle Flightradar24:n palvelussa.,0.5
77,The audience is almost evenly split between black and white.,Yleisö jakautuu lähes tasaisesti mustavalkoiseksi.,Yleisöstä melkein tasan puolet on mustaihoisia ja puolet valkoihoisia.,0.1
78,Neymar bought out of Barcelona – the Brazilian star signed a five-year deal with PSG,Neymar osti ulos Barcelonasta - brasilialaistähti allekirjoitti viiden vuoden sopimuksen PSG:n kanssa,Neymar ostettiin ulos Barcelonasta - brassitähti solmi viiden vuoden sopimuksen PSG:n kanssa,0.7692307692307693
