,source,reference,translation,prediction
10,"O několik týdnů později se Ferrellová během večerní demonstrace seznámila s pozdější spolurežisérkou dokumentu, Sabaah Folayanovou.","Weeks later, during an evening demonstration, Ferrell met the later co-director of the documentary, Sabaah Folayan.","Weeks later, Ferrell met Sabaah Folayan, one of the film's co-directors, during an evening demonstration.",0.186394204137605
11,"Společnost Madison Reed, která nyní pravidelně každý měsíc provádí průzkum mezi zaměstnanci, dokáže díky Glintu vyřešit problém do jednoho dne, uvedla Errettová.","Madison Reed, which now regularly carries out a survey among employees each month, can, thanks to Glint, solve the problem within a day, Errett said.","Madison Reed, which now does monthly employee surveys, has been able to take action the same day a problem is reported on Glint, according to Errett.",0.1307178375811898
12,Společnost True Companion na svých webových stránkách připodobňuje Roxxxy k vibrátoru pro muže.,"On its website, True Companion likens Roxxxy to a vibrator for men.","On its website, True Companion likened Roxxxy to a vibrator, but for men.",0.3372024368894629
13,Protože v roce 1783 Washington řekl: „Svoboda projevu nám může být odejmuta - a hloupí a němí budeme vedeni jako ovce na porážku.“,"Because in 1783, Washington said, ""freedom of speech can be taken away from us - and stupid and mute will be led like sheep to slaughter.""","Because back in 1783, Washington said, ""the freedom of Speech may be taken away - and, dumb & silent we may be led, like sheep, to the Slaughter.""",0.2536891916550295
14,Kvůli těmto zákonům o výhradě svědomí Kalifornie zakázala financování cest svých občanů do osmi států unie ze svých prostředků.,"Because of these laws of conscience, California has banned the financing of the travel of its citizens to the eight states of the Union by its means.","Because of these conscientious objection laws, California has placed a ban on funding its citizens' journeys to eight states from its own means.",0.21893808656207284
15,"„Když jsem se otočil, někdo mě střelil do levého zápěstí,“ řekl týdeníku TIME na verandě svého pestře malovaného dřevěného domu.","""When I turned around, someone shot me in the left wrist,"" he told the weekly TIME on the porch of his pestle-painted wooden house.","""When I turned around I suddenly got shot in my left wrist,"" he told TIME on the porch of his brightly painted wooden house.",0.28163518825364686
16,"„Jak bychom jen mohli pomyslet na odchod,“ řekl Bojorquez, „když mě ve stejný den, kdy byl zabit Javier, jedna internistka požádala, abych jí vyslal do ulic?“","""How could we possibly think of leaving,"" Bojorquez said, ""when on the same day Javier was killed, one intern asked me to send her to the streets?""","""How can you even think of closing,"" Bojorquez said, ""when the same day Javier was killed the intern asked me to send her out to report on the street?""",0.2650522514606702
17,"Chodili jsme kolem našeho bloku, naši přátelé vzali auta a jezdili po okolí, ale hledali jsme marně.","We walked around our block, our friends took cars and drove around the area, but we searched in vain.","We walked around our block. Our friends took their cars and drove around, but our search was in vain.",0.30913318774286325
18,"Možná jdu trochu proti proudu, ale připadá mi důležité udržet vývoj u nás v České republice.","I may be going a little upstream, but I find it important to maintain our development in the Czech Republic.","Maybe I'm going against the current a bit, but it seems important to me to keep the development in the Czech Republic.",0.18825594265093396
19,"""Rana zmizela odpoledne, ještě ten den jsme to nahlásili na policii, řekli jsme to novinám i všem našim televizním stanicím, plakáty s její fotkou visely všude,"" pokračoval.","""Rana disappeared in the afternoon, we reported it to the police that day, we told the newspaper and all our TV stations, the posters with her photo hung everywhere,"" he continued.","""Rana disappeared in the afternoon, and we informed the police the same day. We told the newspapers and all the TV stations, and there posters with her photo hanging everywhere,"" he continued.",0.2771155276517019
20,"Žena v obchodě se mi s úsměvem omlouvala, když jsem neochotně hodnotila mé předávání kreditní karty pěti hvězdami.",A woman in the store apologised to me with a smile as I reluctantly rated my transfer of a credit card to five stars.,"The poor woman in the department store stood grinning apologetically while, wearily, I gave the experience of handing her my credit card five stars.",0.15527066392104694
21,Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,Civil rights movement issued travel alert for Missouri,Civil rights group issues travel warning for Missouri,0.28699055837691884
22,"Tady se Ferrellová se svou dcerou seznámili s místním podnikatelem, který připravoval pro ostatní jídlo.",This is where Ferrell and her daughter met a local entrepreneur who was preparing food for others.,There Ferrell and her daughter linked up with a local business owner who was making sack lunches.,0.16292802532402825
23,"Je tak možné, že stroj byl ukradený.",It's possible the machine was stolen.,"As such, it is possible that the vehicle was stolen.",0.18512775354829994
24,Lucka Vondráčková v Česku.,Lucka Vondrakova in the Czech Republic.,Lucka Vondráčková in the Czech Republic.,0.25990927855582646
25,"Mora se nechal slyšet, že podporuje rozhodnutí NCAA, přesto, že přidalo další položku do již tak nabitého diáře hráčů.","Mora let himself be heard to support the NCAA's decision, despite adding another item to the already-charged diaries of the players.",Mora said he supported the NCAA's rule change even if it did add another item to players' busy itineraries.,0.15159922250802343
26,Minulou noc dorazili další a dnes jich dojede asi ještě víc.',"More arrived last night, and there will be more of them today. ""","More arrived last night, probably even more today.'",0.22488857224846026
27,"Začalo se upouštět od levných materiálů a naopak pracovat se zdravotně nezávadnými, začaly se produkovat jiné designy, různé barvy...","It started to get away from cheap materials and, on the contrary, to work with the disabled, other designs, different colors began to be produced...","Manufacturers stopped using cheap materials, and instead began working a healthy approach. They started producing different designs, in various colours...",0.09232842001531702
28,"Garcia uvedl, že uznává Lomačenka jako „úžasného boxera“ a mohl by se zúčastnit jeho sobotního zápasu.","Garcia stated that he recognises Lomachenko as an ""amazing boxer"" and could take part in his Saturday match.","Garcia said he appreciates Lomachenko as ""a tremendous fighter,"" and may attend his Saturday bout.",0.1653949889309479
29,Soudní lékař přikrývá 27. července 1946 jedno z těl obětí lynčování u Moore's Ford.,"The medical examiner covers on July 27, 1946, one of the bodies of the lynching victims at Moore's Ford.","A coroner places a sheet over the body of one of the victims of the Moore's Ford lynching on July 27, 1946.",0.15854968990530888
30,"V jednom momentě ho však udeřil tak silně a přímo do nosu, že mladého zpěváka museli ošetřovat lékaři.","At one point, however, he hit him so hard and straight up his nose that the young singer had to be treated by doctors.","At one point, however, he struck him directly on the nose so hard that the young singer had to be treated by doctors.",0.27434293850196345
31,"Nejčastěji se pohybují v Rakousku, ale spotřebě dat v letní sezóně vévodí Chorvatsko.","They most often move in Austria, but the consumption of data in the summer season is dominated by Croatia.","They travel in Austria most often, but in the summer season the consumption of data is dominated by Croatia.",0.2504018548484127
32,"Autoři se odklonili od hlavní vtipné pointy - herců středního věku, kteří hrají dospívající nadržené děti - a nemohli si tak utahovat z předešlých událostí.",The authors diverged from the main funny point - middle-aged actors playing teenage horny children - and couldn't make fun of previous events.,By doubling down on the core gag - middle-age actors playing horny kids coming of age - it made the impossibility of recapturing the past part of the joke.,0.0828204849109049
33,Vedro v Česku.,Heat in the Czech Republic.,Heatwave in the Czech Republic.,0.2759189863895444
34,"Australských smrtonošů zmijích přišlo na svět osm, jsou to potomci chovného páru původem z populace v okolí Sydney.","Australia's deadly vipers have come to world eight, they are the descendants of a breeding couple originally from a population in and around Sydney.","Eight Australian death adders have been born, and are the descendants of a breeding pair from the population around Sydney.",0.1890842787857325
35,Kalifornie může být Kalifornií a Texas může být Texasem.,"California may be California, and Texas could be Texas.","California can be California, and Texas can be Texas.",0.2883046196351702
36,Z tohoto pohledu vyjadřuje socha naději a naslouchá jejich potřebám.,"From this perspective, the statue expresses hope and listens to their needs.",Her statue speaks back to them the words of hope and welcome they need to hear.,0.08453858068452769
37,Řidiči dostávají vodu či letní stejnokroj.,Drivers get water or summer uniforms.,Drivers receive water or a summer uniform.,0.2804416180943855
38,Tiskový mluvčí správní rady města Solihull řekl: ‚Jsme si vědomi neoprávněného pobytu na pozemku poblíž Streetsbrook Road a ve spolupráci s místní policií podnikáme nezbytné právní kroky ke zdárnému vyřešení celého problému.,"A press spokesman for the board of the city of Solihull said: ""We are aware of an unauthorised stay at a property near Streetsbrook Road and, in collaboration with local police, we are taking the necessary legal action to successfully resolve the whole problem.","A spokeswoman for Solihull Council said: 'We are aware of an unauthorised encampment on land off Streetsbrook Road and working alongside Solihull Police, we are undertaking the necessary legal actions to move them on as quickly as possible.",0.18459582812103117
39,STAN už nějakou dobu připomíná spíš reality show než skutečnou politickou stranu a Dědkova pomocná ruka jako by z žádané nevěsty ještě víc dělala prodejnou holku.,"The tent had been more of a reality show than a real political party for some time, and Children's helping hand seemed to make the desired bride even more of a sales girl.","For some time now, STAN has been acting more like a reality show than a real political party, and Dědek's helping hand seems to be making a shop assistant out of a sought-after bride.",0.18745666261063165
40,A to není vše.,And that's not all.,"There were other changes, too.",-0.025834933031534276
41,"Média zveřejnila slova prezidenta Donalda Trumpa o novém imigračním plánu USA, v jehož rámci dojde také na změnu při udělování zelené karty.","The media has released President Donald Trump's words on a new US immigration plan, under which there will also be a change in the granting of a green card.","There is going to be new US immigration plan to modify Green Card rules, President Donald Trump said, quoted by the media.",0.0959581096444527
42,"Až vloni na podzim vláda schválila odkup vepřína a rozhodla o tom, aby byl vypracován znalecký posudek k určení ceny.",It was not until last autumn that the Government approved the purchase of the veto and decided to draw up an expert report to determine the price.,"At least, that was until autumn of this year, when the government approved the purchase of the pig farm and decided to call an expert judgment to determine the price.",0.2334080299747382
43,"Podobně jako Glint dovoluje Convercent společnostem odesílat přizpůsobitelné „bleskové“ průzkumy, shromažďovat důvěrné informace v reálném čase a zobrazovat teplotní mapy problémových oblastí.","Like Glint, Convercent allows companies to send customizable ""flash"" surveys, collect confidential information in real time, and display temperature maps of problem areas.","Like Glint, Convercent lets companies send customized ""pulse"" surveys, gather confidential responses in real time, and view heat maps of its problem areas.",0.24054603108026235
44,"Těžce obrněný dinosaurus využíval červenou a bílou kamufláž k ochraně proti predátorům a používal systém maskování, který používá mnoho dnešních zvířat.","The heavily armoured dinosaur used red and white camouflage to protect against predators, using a camouflage system used by many of today's animals.","The heavily armoured dinosaur used red and white camouflage to hide from predators, and employed a shielding technique known as counter-shading, which is also used by many modern-day animals.",0.17632225262175594
45,Dokázal se po nich vrátit k práci i na tenisový kurt a na lyžařské sjezdovky.,He was able to get back to work on the tennis court and ski slopes.,"Afterwards, he was able to go back to working on the tennis court and the ski slopes.",0.30285725225460625
46,"Ukázalo se, že je také obratný v používání Facebooku jako hlavního prostředku ke spojení se svými voliči - výjimkou není ani zveřejnění první fotografie s holou hlavou po absolvování chemoterapie.",It turns out he is also skilful in using Facebook as the main means to connect with his constituents - the exception is not even the publication of the first photo with a bald head after undergoing chemotherapy.,"He's also been pretty deft at using Facebook as a primary means to connect with his constituents, playfully debuting his hairless head after chemo treatments on his page.",0.14220014801883946
47,"Slečna Knoxová (30) zveřejnila vyjádření v Los Angeles Times: „Michelle Carterová si zaslouží pochopení a pomoc, ne vězení.“","Ms. Knox (30) posted a statement in the Los Angeles Times: ""Michelle Carter deserves understanding and help, not prison.""","Ms Knox, 30, published an op-ed in the Los Angeles Times saying: ""Michelle Carter deserves sympathy and help, not prison.""",0.25747996950129876
48,Pak už se objali a fotografům ochotně pózovali.,"Then they embraced, and the photographers willingly posed.",Then they hugged and willingly posed for the photographers.,0.22579607424661752
49,To je takový bezdotykový stimulátor klitorisu.,It's kind of a clitoris pacemaker.,It is a kind of contactless clitoris stimulator.,0.1977122191111385
50,"Potíž je v tom, řekl redaktor Riodoce Andres Villarreal, že „čich je smysl, který lze ošálit... a pak došlo k té věci s Javierem.“","The trouble is, said Riodoce editor Andres Villarreal, that ""smell is a sense that can be fooled... and then there was that thing with Javier.""","The trouble, said Riodoce editor Andres Villarreal, is that ""smell is a sense that can be fooled ... and then the thing with Javier happened.""",0.3095863439540861
51,"Podle zpravodajů otřásly sebevražedné útoky, ke kterým doškol v nedávných týdnech důvěrou veřejnosti ve vládu, její nařízení a obzvláště v reputaci prezidenta Ašrafa Ghanína.","According to the rapporteurs, they have been rocked by suicide attacks in recent weeks by public confidence in the government, its regulations, and particularly in the reputation of President Ashraffe Ghana.","Correspondents say the suicide bombings in Kabul in recent weeks have also created a crisis of public confidence in the government, its policies and in particular the reputation of President Ashraf Ghani.",0.18988456673076826
52,"Potřebovala se rozvíjet nejen v aktivismu a organizování, ale musela zároveň poznat rozdíl mezi různými vrstvami zkušeností s černochy a co musíme udělat pro to, abychom se osvobodili.","She needed to develop not only in activism and organizing, but she also had to tell the difference between different layers of experience with black people and what we need to do to free ourselves.","She needs to be well developed in the area of not just activism and organizing but knowing the different layers of the black experience and the black condition and what we must do to get free, to free ourselves.",0.21698355469210434
53,"Koncepce, že stát má financovat a stavět nové jaderné bloky, je absurdní.",The concept that the state is supposed to fund and build new nuclear blocks is absurd.,The idea that the state should finance and build new nuclear blocks is absurd.,0.26411881841417073
54,"Posledním exemplářem výstavy, umístěným v samostatné místnosti, je jediná stránka z výše uvedené grafické novely.","The last copy of the exhibition, located in a separate room, is the only page from the above graphic novel.","The final piece in the exhibition, which is contained in a single room, is one page from the aforementioned graphic novella.",0.1968613255407594
55,Kdysi takhle začínal i Vít Bárta a moc slušně to nedopadlo.,"He used to start out like that, and it didn't work out very well.","Vít Bárta also started once, and it did not work out well.",0.15951199662288773
56,"My jsme, narozdíl od socanů, nikdy neměli korupční aféru, žádného Peltu, Kratochvílovou, Březinu.","We, unlike the statues, have never had a corruption affair, no PELTU, Kratochenko, Brezina.","Unlike the Social Democrats, we have never had any corruption scandals, no Pelts, no Kratochvílová, no Březinas.",0.13109292767170033
57,"Zapomeňte na chvíli, že slovem „příměří“ se myslí, že jeden drogový kartel ovládá pobřežní stát s drahocennými přístavy a důležité trasy, kterými putují do Spojených států drogy.","Forget for a moment that the word ""ceasefire"" means that one drug cartel controls a coastal state with precious ports and important routes through which drugs travel to the United States.","Forget for a minute that a state of ""calm"" is when just one cartel is in control of the coastal state with its valuable ports and drug-trafficking routes to the United States.",0.19568245999713663
58,"Dodal, že Lathem a Warren byli zachyceni bezpečnostními kamerami.",He added that Lathem and Warren were caught by security cameras.,"Lathem and Warren were confirmed to be at the building by security cameras, he said.",0.1579100336126814
59,"Vstup do soutěže s dotací 3,25 milionu dolarů vyšel nejlépe americké hvězdě Michelle Wieové, která vyhrála první kolo v rekordu hřiště 64 ran, tedy osm pod par.","Entering the competition with a $3.25 million subsidy came out best to American star Michelle Wiese, who won the first round in a record-breaking 64 rounds, that is, eight under par.","The competition with a $3.25 million prize started off best for American star Michelle Wie, who won the first round with a record of 64 putts, and a score of eight under par.",0.23003791732981527
60,"Andrej Babiš se oženil, křižuje republiku se svou vizionářskou knihou a finalizuje volební program.","Andrei Babiš married, cruises the republic with his visionary book and finalizes the election program.","Andrej Babiš got married, toured the Republic with his visionary book and finalised the electoral programme.",0.22572603886043957
61,"Minulý měsíc federální odvolací soud ve Washingtonu rozhodl, že vykonavatel EPA překročil svou autoritu ve snaze oddálit začlenění plánu Obamovy administrativy, která vyžadovala, aby naftové a plynové společnosti snížily úniky metanu.","Last month, a federal appeals court in Washington ruled that the EPA's executor had overstepped his authority in an effort to delay the inclusion of an Obama administration plan that required diesel and gas companies to reduce methane leaks.","Last month, a federal appeals court in Washington ruled the EPA administrator overstepped his authority in trying to delay implementation of an Obama administration rule requiring oil and gas companies to monitor and reduce methane leaks.",0.27743897324968114
62,"Vyplývá to z přepisů rozhovorů, které ve čtvrtek zveřejnil americký deník The Washington Post.",It stems from transcripts of interviews released Thursday by the American Journal of The Washington Post.,This has emerged from transcripts of the talks published by the US daily The Washington Post on Thursday.,0.16390493594541142
63,"V odpověď na dotaz ohledně tohoto zvláštního načasování Dewey-Hagborgová uvedla, že „vše se děje z nějakého důvodu“.","In response to a query about this particular timing, Dewey-Hagborg stated that ""everything happens for a reason.""","When asked about the peculiar timing of it all, Dewey-Hagborg said that ""things happen for a reason.""",0.1802296052117398
64,"Kayame dosud neví kdo byl střelcem, ale podle jeho slov patřila kulka jednomu z přítomných vojáků.","Kayame does not yet know who the shooter was, but according to his words, the bullet belonged to one of the soldiers present.",Kayame still doesn't know who fired but says the bullet came from the ranks of amassed soldiers.,0.1600023383808407
65,Střelci poté nastoupili do jeho vozu a nedaleko od místa činu jej nabourali.,The gunmen then boarded his vehicle and crashed it not far from the scene.,The gunman drove away in his car and crashed it nearby.,0.1521851555001257
66,Dobrou spolupráci s ČSSD by rád vyměnil za ještě lepší s ANO.,Good cooperation with ČSSD would like to trade for even better with YES.,They would like to exchange the hood cooperation with the ČSSD for an even better one with ANO.,0.1397338690053971
67,"""Později je strhneme z platu soudce,"" žertoval na twitteru kritik Kremlu.","""We will later tear them out of the judge's salary,"" a Kremlin critic joked on twitter.","""Later, we'll take it off the judge's salary,"" the Kremlin critic joked on Twitter.",0.22237871637653628
68,"V továrně pracuje více než 500 zaměstnanců, kteří vyrábějí kromě jiných produktů i sušenky Hobnob a Rich Tea.","More than 500 employees work at the factory, producing, among other products, hobnob and Rich Tea cookies.","More than 500 people work at the plant, which produces Hobnobs and Rich Tea biscuits, among other products.",0.2436865204319995
69,V praxi je to ale opačně.,"In practice, it's the other way around.","In practice, the opposite turned out to be the case, however.",0.0903217781620782
70,"Mluvčí Sikorsky uvedl, že společnost nebyla žádným způsobem zainteresována v jednáních o vystavení helikoptéry na South Lawn.",A spokesperson for Sikorsky said the company was not in any way involved in negotiations over the exposure of the helicopter to the South Lawn.,A spokesperson for Sikorsky said the company was not involved in arranging for the helicopter to be displayed on the South Lawn.,0.2607331269680379
71,"Bydlím na Streetsbrook a nemíním dál hradit daně, dokud se správní rada s turisty nevypořádá.'","I live on Streetsbrook, and I'm not going to continue to pay my taxes until the board of trustees deal with tourists. """,I live on Streetsbrook road and I'm not happy to continue paying my council tax when the council can't even stop this.',0.2164668152425221
72,"Rodina ho urychleně dopravila do nemocnice, tam se však jeho blízcí dozvěděli strašnou zprávu - podle lékařů neměl šanci přežít.","The family rushed him to the hospital, but that's where his loved ones learned the terrible news - according to doctors, he didn't have a chance to survive.","His family quickly took him to the hospital, but his relatives learned terrible news there - the doctors said he had no chance to survive.",0.21837367991130305
73,"Naší snahou vždy bylo oddělit poctivé atlety od těch nepoctivých,“ ukončil svou řeč.","Our effort has always been to separate honest athletes from the dishonest ones, ""he ended his speech.","The guiding principle has always been that we wanted to separate the clean athletes from the tainted system,"" he added",0.16485453047716542
74,Toho přitom česká policie obvinila už v roce 2014 z daňových úniků a stíhá ho na útěku.,"In 2014, the Czech police accused him of tax evasion and prosecuting him on the run.",However the Czech police accused him of tax evasion in 2014 and has been pursuing him in absentia.,0.1971495695934703
75,Informaci uvedl web Reuters.,The information was reported by the Reuters website.,Reuters reported on the story.,0.15709486351439705
76,"Nemluvě o šílené zápletce, která zahrnuje Ronalda Reagana (také pan Showalter), jehož podněcuje George H. W. Bush (velmi dobře obsazený Michael Ian Black).","Not to mention the crazy plot that includes Ronald Reagan (also Mr. Showalter), incited by George H. W. Bush (the very well-cast Michael Ian Black).","And there's another battily villainous plot involving Ronald Reagan (also Mr. Showalter), now abetted by George H. W. Bush (a well-inhabited impression by Michael Ian Black).",0.18614916401865067
77,Islamisté dostali ve Velké Británii doživotí za přípravu atentátu.,Islamists have been given a life sentence in the UK for preparing an assassination.,Islamists receive a life sentence in the UK for planning an attack.,0.252886046993259
78,Na programu tohoto týdne jsou tři hlavní příběhy.,There are three main stories on this week's agenda.,For this week's edition Riodoce was looking at three main stories.,0.09171044435288972
79,Hnutí Děti Země-Klub za udržitelnou dopravu z Brna totiž podalo rozklad.,The Children of the Earth-Club movement for sustainable transport from Brno has brought decay.,"Děti Země, an organisation from Brno fighting for sustainable transport, has put a halt on the works.",0.07999681779576531
80,"""Do přenesených dat by se vešlo desítky miliónu fotografií,"" upřesnila podrobnosti ředitelka mobilního segmentu v O2 Silvia Cieslarová.","""Tens of millions of photographs would fit into the transferred data,"" the director of the mobile segment at O2 Silvia Cieslar said.","""Tens of millions of photographs were transferred with the data,"" said Silvia Cieslarová, director of the O2 mobile department.",0.22174414774068818
81,Profesor Severozápadní univerzity a zaměstnanec Oxfordské univerzity hledáni za vraždu,Northwestern University professor and Oxford University employee wanted for murder,Northwestern Professor and Oxford University Employee Wanted for Homicide,0.32226727557308243
82,Mláďata všech tří druhů se v zoo živí myšími holaty.,Cubs of all three species feed on mouse holats at the zoo.,The young of all three species are fed with mice in the zoo.,0.15884008306206607
83,"Zobrazuje Manningovou, kterak se vynořuje na způsob King Konga z věznice United States Disiplinary Barracks s megafonem v ruce.",It depicts Manning emerging in the manner of King Kong from the United States Disiplinary Barracks with a megaphone in his hand.,"It shows Manning, emerging, King Kong-esque, from the United States Disiplinary Barracks with a speakerphone in hand.",0.2797253146120748
84,Donald Trump musel snížit cenu svého karibského sídla o neuvěřitelných 8 milionů liber.,Donald Trump has had to cut the price of his Caribbean mansion by an incredible £8 million.,Donald Trump had to slash the price of his Caribbean home by an incredible £8 million.,0.3109787473927914
85,"Vůbec o tom nepřemýšlím, vždyť my v té vládě asi ani nebudeme, nikdo s námi nechce spolupracovat, i když nevím, co tak hrozného jsem udělal.","I don't think about it at all, we probably won't be in the government, no one wants to cooperate with us, even though I don't know what I've done.","I'm not thinking about it at all. We will probably will not end up in government. Nobody wants to cooperate with us, even though I do not know what I've done that's so terrible.",0.22023906533805437
86,V zahraničí Češi spotřebují více ze svého tarifu než doma.,"Abroad, Czechs consume more of their fare than at home.",Czechs consume more of their tariffs abroad than at home.,0.2932610668201865
87,"Také podle dalšího nájemníka, jehož citovala agentura Reuters, oheň vypukl v nejvyšších patrech a šířil se dolů s padajícími žhavými troskami.","Also, according to another tenant quoted by Reuters news agency, the fire broke out in the top floors and spread down with falling hot debris.","Moreover, according to another tenant quoted by Reuters, the fire broke out on the top floors and spread downwards, with glowing debris falling down.",0.26901475548606385
88,"""Nemůže jako čtvrtá instance posuzovat skutková nebo právní pochybení, kterých se údajně dopustily obecné soudy, jestliže nepředstavují porušení ústavně chráněných práv a svobod,"" stojí v usnesení.","""It cannot, as a fourth instance, assess factual or legal errors allegedly committed by ordinary courts if they do not constitute a violation of constitutionally protected rights and freedoms,"" the order reads.","""It cannot assess the factual or legal misconduct allegedly committed by the ordinary courts for a fourth time if it does not constitute a violation of constitutionally protected rights and freedoms,"" the resolution states.",0.24536760139536418
89,Mrakodrap The Torch byl postaven v roce 2011 a tehdy se stal se svými 352 metry nejvyšší obytnou budovou světa.,"Skyscraper The Torch was built in 2011 and that's when it became, with its 352 metres, the world's tallest residential building.","The Torch skyscraper was built in 2011 and was then the highest residential building in the world, at 352 metres tall.",0.1739575453028671
90,"Celá rozvětvená rodina se semkla, aby Karlovi usnadnila život.",The whole branched family came together to make Karl's life easier.,The whole branch of the family has come together to make life easier for Karel.,0.22542821604153784
91,"Celkem je naplánováno osmnáct tréninků do 20. srpna, načež začínají formální přípravy na první zápas proti týmu Texas A&M, který se koná v září.","In total, eighteen training sessions are scheduled until August 20, whereupon they begin formal preparations for the first game against the Texas A & M team, which takes place in September.",They are scheduled to hold 18 practices through Aug. 20 before beginning formal game preparations for their opener against Texas A&M on Sept.,0.15902403549177893
92,"Příkladem, který mluví za vše, je čínská vízová politika.",The example that speaks for all is China's visa policy.,One particularly indicative example is the Chinese visa policy.,0.16482026183450113
93,"Totéž platí o vládě, kterou v naší historii řídili jen dva lidé, Klaus a Zeman.","The same is true of a government that only two people have managed in our history, Klaus and Zeman.","The same applies to the government, which has only been governed by two people in our history, Klaus and Zeman.",0.21273072646896907
94,Šéf EPA Scott Pruitt o odkladu plánovaných směrnic ke snížení emisí Obamovy administrativy,EPA chief Scott Pruitt on postponing planned directives to reduce Obama administration emissions,EPA Chief Pruitt Backtracks on Delaying Obama-Era Rules to Reduce Emissions,0.21869433291483223
95,Stínová ministryně zdravotnictví Sharon Hodgsonová řekl: ‚Začátek zkušebního období PrEP je vítanou a dlouho očekávanou změnou po měsících odkladů a zdržování ze strany vlády.,"Shadow health secretary Sharon Hodgson said: ""The start of the PrEP test period is a welcome and long-awaited change after months of delays and delays by the government.",Shadow public health minister Sharon Hodgson said: 'The start of the PrEP trial is welcome and long overdue after months of delays and heel-dragging by the Government.,0.2835204706619192
96,"Chtěli jsme alespoň neprohrát, zvednout si sebevědomí, abychom se měli od čeho odrazit do dalších zápasů.","We wanted to at least not lose, lift our confidence so we have something to bounce back from in the next matches.","We wanted to avoid losing at least, so as to build up our self-confidence to get something out of it for the next match.",0.16944492425322835
97,"Podstata problému zůstává stejná, a tak si dovolím stěžejní pasáže článku připomenout.","The nature of the problem remains the same, and so I allow myself to remind myself of the central passage of the article.","The essence of the problem remains the same, and so I'll refer to the key passage of the article.",0.2724505046848947
98,"Naposledy jí padl do náruče její bývalý milenec Michal Dlouhý, s nímž žila tři roky.","The last time she fell into her arms was her former lover, Michal Long, with whom she had lived for three years.","Last time, her former lover Michal Dlouhý, who lived with her for three years, fell into her arms.",0.2101724870075714
99,A s odlivem zákazníků zkrachuje celá společnost.“,"And with a cast of customers, the whole company goes bust. ""","And when you lose customers, you're going to lose companies.""",0.0894758617605475
